time,G(i),H_sun,T2m,WS10m,Int
20050109:0311,0,0,4.98,5.79,0
20050109:0411,0,0,4.95,5.93,0
20050109:0511,0,0,4.95,5.86,0
20050109:0611,0,0,4.99,5.93,0
20050109:0711,0,0,5.26,6.21,0
20050109:0811,0,0,5.48,6.48,0
20050109:0911,48.56,8.95,6.15,6.55,0
20050109:1011,25.5,12.89,6.85,6.55,0
20050109:1111,26.41,14.76,7.49,5.03,0
20050109:1211,64.67,14.4,7.92,5.31,0
20050109:1311,69.89,11.85,8.13,5.03,0
20050109:1411,10.02,7.32,8.09,5.52,0
20050109:1511,3.64,1.16,7.75,5.03,0
20050109:1611,0,0,7.36,4.76,0
20050109:1711,0,0,7.05,4.62,0
20050109:1811,0,0,6.8,4.55,0
20050109:1911,0,0,7.04,4.69,0
20050109:2011,0,0,7,4.76,0
20050109:2111,0,0,6.65,4.9,0
20050109:2211,0,0,6.27,5.03,0
20050109:2311,0,0,6.47,5.1,0
20050110:0011,0,0,7.3,5.31,0
20050110:0111,0,0,8.32,5.59,0
20050110:0211,0,0,9.48,5.86,0
20050110:0311,0,0,10.32,6,0
20050110:0411,0,0,10.86,5.93,0
20050110:0511,0,0,11.13,6,0
20050110:0611,0,0,10.96,6.07,0
20050110:0711,0,0,10.78,6,0
20050110:0811,0,0,10.68,5.86,0
20050110:0911,244.82,9.05,10.9,5.93,0
20050110:1011,253.39,13.01,11.76,6.14,0
20050110:1111,467.41,14.9,12.57,6.21,0
20050110:1211,146.77,14.56,13.16,6.28,0
20050110:1311,484.71,12.01,13.36,6.28,0
20050110:1411,460.45,7.49,13.15,6,0
20050110:1511,15.48,1.33,12.55,5.45,0
20050110:1611,0,0,11.8,4.9,0
20050110:1711,0,0,11.13,4.48,0
20050110:1811,0,0,10.34,4.34,0
20050110:1911,0,0,10.46,4.76,0
20050110:2011,0,0,10.24,4.83,0
20050110:2111,0,0,10.09,4.9,0
20050110:2211,0,0,9.84,4.76,0
20050110:2311,0,0,9.83,4.69,0
20050111:0011,0,0,9.85,4.76,0
20050111:0111,0,0,9.74,4.69,0
20050111:0211,0,0,9.52,4.48,0
20050111:0311,0,0,9.25,4.28,0
20050111:0411,0,0,9.07,4,0
20050111:0511,0,0,8.98,3.52,0
20050111:0611,0,0,8.95,3.17,0
20050111:0711,0,0,8.74,2.97,0
20050111:0811,0,0,8.65,2.97,0
20050111:0911,210.72,9.16,8.83,3.38,0
20050111:1011,42.81,13.14,9.15,4.48,0
20050111:1111,188.57,15.05,9.16,4.41,0
20050111:1211,284.77,14.72,9.57,4.9,0
20050111:1311,378.86,12.18,9.73,3.79,0
20050111:1411,10.93,7.66,9.62,4,0
20050111:1511,8.2,1.51,9.21,3.93,0
20050111:1611,0,0,8.75,4.21,0
20050111:1711,0,0,8.52,4.41,0
20050111:1811,0,0,8.61,4.48,0
20050111:1911,0,0,9.14,4.55,0
20050111:2011,0,0,9.6,4.9,0
20050111:2111,0,0,9.88,5.17,0
20050111:2211,0,0,10.36,5.38,0
20050111:2311,0,0,10.65,5.45,0
20050112:0011,0,0,10.81,5.52,0
20050112:0111,0,0,10.86,5.45,0
20050112:0211,0,0,10.76,5.38,0
20050112:0311,0,0,10.67,5.38,0
20050112:0411,0,0,10.65,5.24,0
20050112:0511,0,0,10.36,4.9,0
20050112:0611,0,0,9.97,4.76,0
20050112:0711,0,0,9.2,4.48,0
20050112:0811,0,0,8.67,4.21,0
20050112:0911,313.71,9.28,8.45,4.21,0
20050112:1011,274.84,13.27,8.65,3.86,0
20050112:1111,104.1,15.2,8.81,4.97,0
20050112:1211,728.89,14.89,8.84,5.24,0
20050112:1311,526.72,12.36,8.81,5.03,0
20050112:1411,519.36,7.84,8.57,5.31,0
20050112:1511,2.73,1.69,8,5.24,0
20050112:1611,0,0,7.61,4.83,0
20050112:1711,0,0,7.16,4.69,0
20050112:1811,0,0,7.09,4.76,0
20050112:1911,0,0,6.69,4.76,0
20050112:2011,0,0,6.32,4.69,0
20050112:2111,0,0,6.02,4.62,0
20050112:2211,0,0,5.76,4.48,0
20050112:2311,0,0,5.66,4.48,0
20050113:0011,0,0,5.32,4.62,0
20050113:0111,0,0,5.28,4.83,0
20050113:0211,0,0,5.13,4.9,0
20050113:0311,0,0,5.04,4.83,0
20050113:0411,0,0,4.78,4.9,0
20050113:0511,0,0,4.62,4.9,0
20050113:0611,0,0,4.59,4.9,0
20050113:0711,0,0,4.55,5.1,0
20050113:0811,0,0,4.37,5.1,0
20050113:0911,143.57,9.4,4.45,5.17,0
20050113:1011,142.83,13.42,4.81,4.62,0
20050113:1111,237.64,15.36,5.09,5.24,0
20050113:1211,150.13,15.06,5.17,5.31,0
20050113:1311,140.94,12.54,5.32,4.83,0
20050113:1411,542.51,8.03,5.03,5.1,0
20050113:1511,20.04,1.88,4.66,5.31,0
20050113:1611,0,0,4.06,4.28,0
20050113:1711,0,0,3.74,4.14,0
20050113:1811,0,0,3.36,4.07,0
20050113:1911,0,0,3.34,4,0
20050113:2011,0,0,3.47,4.07,0
20050113:2111,0,0,3.13,3.93,0
