time,G(i),H_sun,T2m,WS10m,Int
20060327:0511,0,0,11.43,2.9,0
20060327:0611,52.63,8.14,11.85,3.17,0
20060327:0711,333.33,16.93,12.79,3.52,0
20060327:0811,382.97,25.05,14.56,3.24,0
20060327:0911,640.18,31.96,16.28,4.21,0
20060327:1011,531.98,36.99,17.34,5.66,0
20060327:1111,121.14,39.45,16.54,4.62,0
20060327:1211,105.65,38.93,15.21,4.34,0
20060327:1311,387.02,35.51,14.88,3.66,0
20060327:1411,212.36,29.76,16.72,4.55,0
20060327:1511,28.24,22.36,15.32,5.24,0
20060327:1611,65.48,13.96,13.9,4.21,0
20060327:1711,11.84,5.04,13.24,4.34,0
20060327:1811,0,0,11.68,4.21,0
20060327:1911,0,0,11.77,4.55,0
20060327:2011,0,0,11.48,4.62,0
20060327:2111,0,0,11.25,4.9,0
20060327:2211,0,0,10.82,5.03,0
20060327:2311,0,0,10.47,5.17,0
20060328:0011,0,0,10.18,5.1,0
20060328:0111,0,0,9.87,4.83,0
20060328:0211,0,0,9.52,4.48,0
20060328:0311,0,0,9.13,4.21,0
20060328:0411,0,0,8.8,4.07,0
20060328:0511,0,0,8.73,4.07,0
20060328:0611,30.06,8.5,8.94,4.21,0
20060328:0711,122.25,17.3,9.96,4.69,0
20060328:0811,191.06,25.43,10.56,6.21,0
20060328:0911,427.27,32.35,10.97,6.34,0
20060328:1011,603.89,37.38,11.5,6.34,0
20060328:1111,584.56,39.84,12.42,6.48,0
20060328:1211,761.75,39.3,12.91,6.21,0
20060328:1311,851.55,35.86,13.28,6.14,0
20060328:1411,637.42,30.07,13.49,6.28,0
20060328:1511,536.63,22.65,13.04,5.52,0
20060328:1611,160.57,14.23,12.55,4.34,0
20060328:1711,60.74,5.31,11.67,3.38,0
20060328:1811,0,0,10.46,3.03,0
20060328:1911,0,0,9.96,3.24,0
20060328:2011,0,0,9.42,3.24,0
20060328:2111,0,0,8.92,3.24,0
20060328:2211,0,0,8.4,3.38,0
20060328:2311,0,0,8.08,3.66,0
20060329:0011,0,0,7.75,3.93,0
20060329:0111,0,0,7.3,4.07,0
20060329:0211,0,0,7.1,4.21,0
20060329:0311,0,0,6.83,4.28,0
20060329:0411,0,0,6.87,4.41,0
20060329:0511,0,0,6.88,4.48,0
20060329:0611,11.84,8.86,7.08,4.69,0
20060329:0711,63.76,17.66,7.22,5.1,0
20060329:0811,82.88,25.81,7.3,5.93,0
20060329:0911,164.7,32.74,7.38,5.72,0
20060329:1011,187.51,37.78,7.25,4.76,0
20060329:1111,375.08,40.24,7.18,4.34,0
20060329:1211,225.66,39.68,7.3,3.86,0
20060329:1311,341.33,36.21,7.68,4.14,0
20060329:1411,165.64,30.39,8.31,4.41,0
20060329:1511,261.86,22.94,8.74,4.34,0
20060329:1611,0,0,8.65,4.07,0
20060329:1711,57.53,5.57,8.13,3.45,0
20060329:1811,0,0,7.06,2.83,0
20060329:1911,0,0,5.96,2.41,0
20060329:2011,0,0,4.86,2.07,0
20060329:2111,0,0,3.69,1.86,0
20060329:2211,0,0,2.56,1.86,0
20060329:2311,0,0,2.54,2,0
20060330:0011,0,0,3.19,2.28,0
20060330:0111,0,0,3.87,2.55,0
20060330:0211,0,0,4.09,2.76,0
20060330:0311,0,0,4.8,2.9,0
20060330:0411,0,0,5.03,3.24,0
20060330:0511,0,0,5.39,3.52,0
20060330:0611,11.84,9.22,6.05,3.86,0
20060330:0711,26.41,18.03,7.3,4.62,0
20060330:0811,52.83,26.18,7.83,5.03,0
20060330:0911,152.11,33.13,8.65,5.31,0
20060330:1011,96.55,38.18,9.34,5.72,0
20060330:1111,194.8,40.63,10.41,5.59,0
20060330:1211,192.08,40.05,11.67,5.66,0
20060330:1311,92.9,36.55,13.05,6.48,0
20060330:1411,145.73,30.7,14.06,6.48,0
20060330:1511,108.39,23.23,13.98,5.52,0
20060330:1611,62.85,14.77,13.69,4.76,0
20060330:1711,76.49,5.83,13.13,4.34,0
20060330:1811,0,0,12.43,4.28,0
20060330:1911,0,0,11.88,4.48,0
20060330:2011,0,0,11.38,3.93,0
20060330:2111,0,0,10.92,3.79,0
20060330:2211,0,0,10.41,3.79,0
20060330:2311,0,0,10.46,3.93,0
20060331:0011,0,0,10.4,4,0
20060331:0111,0,0,10.55,4.55,0
20060331:0211,0,0,10.52,5.1,0
20060331:0311,0,0,10.42,5.24,0
20060331:0411,0,0,9.98,4.97,0
20060331:0511,0,0,9.79,5.1,0
20060331:0611,42.04,9.58,9.77,5.59,0
20060331:0711,68.31,18.39,10.07,5.79,0
20060331:0811,117.5,26.56,10.54,5.52,0
20060331:0911,162.85,33.51,10.83,5.45,0
20060331:1011,127.51,38.57,10.59,7.03,0
20060331:1111,155.75,41.02,11.8,5.72,0
20060331:1211,197.54,40.43,11.73,6,0
20060331:1311,96.55,36.89,11.65,6.97,0
20060331:1411,374.81,31.01,12.65,5.66,0
20060331:1511,83.8,23.51,11.66,6.07,0
20060331:1611,258.24,15.03,11.46,6.07,0
20060331:1711,16.39,6.09,10.95,5.38,0
20060331:1811,0,0,10.45,4.83,0
20060331:1911,0,0,10.15,4.28,0
20060331:2011,0,0,9.9,3.59,0
20060331:2111,0,0,9.09,2.83,0
20060331:2211,0,0,8.2,2.9,0
20060331:2311,0,0,8.31,3.31,0
20060401:0011,0,0,8.78,3.45,0
20060401:0111,0,0,8.92,3.45,0
20060401:0211,0,0,8.37,3.45,0
20060401:0311,0,0,7.92,3.38,0
20060401:0411,0,0,7.66,3.24,0
20060401:0511,0,0,7.43,3.17,0
20060401:0611,20.95,9.93,7.84,3.31,0
20060401:0711,57.38,18.75,9,3.66,0
20060401:0811,268.23,26.93,9.93,3.17,0
20060401:0911,99.28,33.9,11.02,4,0
20060401:1011,588.45,38.97,11.68,4.34,0
20060401:1111,326.23,41.42,12.33,4.55,0
20060401:1211,400.95,40.8,13.09,4.69,0
20060401:1311,132.98,37.23,12.84,4,0
20060401:1411,652.08,31.32,13.44,4.34,0
20060401:1511,523.68,23.79,13.77,4,0
20060401:1611,182.66,15.3,12.13,4.97,0
20060401:1711,73.07,6.36,10.7,4,0
20060401:1811,0,0,9.94,3.38,0
20060401:1911,0,0,9.59,3.24,0
20060401:2011,0,0,8.59,3.03,0
20060401:2111,0,0,7.61,2.76,0
20060401:2211,0,0,6.85,2.62,0
20060401:2311,0,0,6.28,2.62,0
20060402:0011,0,0,5.98,2.69,0
20060402:0111,0,0,5.71,2.83,0
20060402:0211,0,0,5.54,2.97,0
20060402:0311,0,0,5.47,3.1,0
20060402:0411,0,0,5.2,3.1,0
20060402:0511,0,0,4.89,2.97,0
20060402:0611,102.9,10.29,5.29,2.9,0
20060402:0711,201.74,19.11,6.68,2.55,0
20060402:0811,122.96,27.3,8.35,3.1,0
20060402:0911,312.43,34.28,9.96,3.66,0
20060402:1011,194.75,39.36,11.02,4.14,0
20060402:1111,122.96,41.81,12.61,4.9,0
20060402:1211,173.06,41.17,12.17,5.03,0
20060402:1311,81.06,37.57,10.71,4.9,0
20060402:1411,64.67,31.62,10.32,4.55,0
20060402:1511,41.9,24.07,10.25,5.24,0
20060402:1611,122.63,15.57,10.09,5.1,0
20060402:1711,65.14,6.62,9.56,4.14,0
20060402:1811,0,0,8.49,2.97,0
20060402:1911,0,0,8.07,2.34,0
20060402:2011,0,0,7.49,2.21,0
20060402:2111,0,0,7.17,2.76,0
20060402:2211,0,0,7.18,3.38,0
20060402:2311,0,0,7.32,3.72,0
20060403:0011,0,0,7.33,3.93,0
20060403:0111,0,0,7.35,4.07,0
20060403:0211,0,0,6.92,4.07,0
20060403:0311,0,0,6.93,4,0
20060403:0411,0,0,6.8,4.07,0
20060403:0511,0,0,6.79,4.14,0
20060403:0611,14.57,10.64,7.02,4.41,0
20060403:0711,86.53,19.47,7.11,3.72,0
20060403:0811,79.24,27.67,7.12,4.28,0
20060403:0911,128.43,34.66,7.19,4.76,0
20060403:1011,113.85,39.75,7.19,5.79,0
20060403:1111,88.35,42.19,7.48,5.59,0
20060403:1211,72.87,41.54,8.72,5.38,0
20060403:1311,117.5,37.91,8.86,5.66,0
20060403:1411,100.19,31.93,8.93,5.24,0
20060403:1511,100.19,24.35,8.82,4.83,0
20060403:1611,157.58,15.83,8.27,4.28,0
20060403:1711,61.01,6.87,7.6,3.59,0
20060403:1811,0,0,6.9,2.9,0
20060403:1911,0,0,6.16,2.07,0
20060403:2011,0,0,5.59,1.59,0
20060403:2111,0,0,4.98,1.45,0
20060403:2211,0,0,4.77,1.59,0
20060403:2311,0,0,4.24,1.93,0
20060404:0011,0,0,3.72,2.21,0
20060404:0111,0,0,3.1,2.34,0
20060404:0211,0,0,2.76,2.48,0
20060404:0311,0,0,2.5,2.48,0
20060404:0411,0,0,2.24,2.55,0
20060404:0511,0,0,2.19,2.76,0
20060404:0611,66.88,10.99,2.49,3.1,0
20060404:0711,180,19.83,3.71,3.66,0
20060404:0811,379.23,28.04,4.75,3.79,0
20060404:0911,264.26,35.04,5.81,4.14,0
20060404:1011,653.93,40.14,6.78,4.41,0
20060404:1111,535.81,42.58,7.29,4.41,0
20060404:1211,72.87,41.9,7.73,4.34,0
20060404:1311,189.3,38.24,7.69,4.21,0
20060404:1411,565.5,32.23,7.43,3.93,0
20060404:1511,386.25,24.63,6.3,4.28,0
20060404:1611,290.43,16.09,6.17,4.21,0
20060404:1711,68.73,7.13,5.9,3.79,0
20060404:1811,0,0,5.08,3.59,0
20060404:1911,0,0,4.09,3.31,0
20060404:2011,0,0,3.46,3.03,0
20060404:2111,0,0,2.88,2.83,0
20060404:2211,0,0,2.28,2.62,0
20060404:2311,0,0,1.73,2.41,0
20060405:0011,0,0,1.26,2.41,0
20060405:0111,0,0,0.74,2.55,0
20060405:0211,0,0,0.43,2.62,0
20060405:0311,0,0,0.06,2.55,0
20060405:0411,0,0,-0.3,2.55,0
20060405:0511,0,0,-0.59,2.55,0
20060405:0611,125.74,11.34,-0.02,2.55,0
20060405:0711,380.94,20.18,1.64,2.97,0
20060405:0811,556.83,28.4,3.39,4.41,0
20060405:0911,614.51,35.42,4.55,4.41,0
20060405:1011,435.08,40.53,5.37,4.28,0
20060405:1111,452.1,42.96,6.13,4.55,0
20060405:1211,205.68,42.27,6.47,4.62,0
20060405:1311,137.53,38.58,6.5,4.69,0
20060405:1411,143.91,32.53,6.42,4.76,0
20060405:1511,305.3,24.91,6.19,4.55,0
20060405:1611,295.43,16.36,5.9,4.41,0
20060405:1711,63.11,7.39,5.21,3.52,0
20060405:1811,0,0,4.04,3.03,0
20060405:1911,0,0,3.23,2.69,0
20060405:2011,0,0,2.45,2.28,0
20060405:2111,0,0,1.61,1.86,0
20060405:2211,0,0,0.84,1.93,0
20060405:2311,0,0,1.2,2,0
20060406:0011,0,0,2,2.07,0
20060406:0111,0,0,2.19,2.07,0
20060406:0211,0,0,2.1,2.07,0
20060406:0311,0,0,1.97,2.07,0
20060406:0411,0,0,1.87,2.07,0
20060406:0511,10.19,2.68,1.92,2.14,0
20060406:0611,122.74,11.69,2.32,2.14,0
20060406:0711,329.43,20.54,3.33,4,0
20060406:0811,613.08,28.76,4.72,4.21,0
20060406:0911,772.88,35.8,6.08,4.69,0
20060406:1011,513.72,40.91,7.48,5.17,0
20060406:1111,484.19,43.35,8.44,5.45,0
20060406:1211,392.2,42.63,8.79,5.1,0
20060406:1311,264.29,38.91,9.3,5.45,0
20060406:1411,105.65,32.83,8.78,5.24,0
20060406:1511,117.5,25.18,8.36,5.17,0
20060406:1611,144.19,16.62,7.68,4.14,0
20060406:1711,56.04,7.64,7.47,3.59,0
20060406:1811,0,0,7.1,3.31,0
20060406:1911,0,0,6.75,3.03,0
20060406:2011,0,0,6.59,3.1,0
20060406:2111,0,0,6.43,3.31,0
20060406:2211,0,0,6.3,3.45,0
20060406:2311,0,0,6.13,3.52,0
20060407:0011,0,0,5.91,3.66,0
20060407:0111,0,0,5.52,3.72,0
20060407:0211,0,0,4.83,3.79,0
20060407:0311,0,0,4.01,3.86,0
20060407:0411,0,0,3.24,3.72,0
20060407:0511,11.88,3.03,2.92,3.52,0
20060407:0611,90.7,12.04,3.51,3.31,0
20060407:0711,244.59,20.89,5.46,3.38,0
20060407:0811,600.55,29.12,6.82,3.59,0
20060407:0911,622.05,36.17,8.04,3.79,0
20060407:1011,160.3,41.3,9.23,3.79,0
20060407:1111,695.09,43.73,10.12,3.66,0
20060407:1211,417.07,42.99,10.76,3.59,0
20060407:1311,323.97,39.24,11.16,3.72,0
20060407:1411,165.56,33.13,11.07,3.59,0
20060407:1511,95.64,25.46,11.01,3.52,0
20060407:1611,147.9,16.87,10.04,3.38,0
20060407:1711,20.95,7.9,9.13,2.55,0
20060407:1811,0,0,8.03,2.07,0
20060407:1911,0,0,7.75,2.14,0
20060407:2011,0,0,6.86,1.79,0
20060407:2111,0,0,6.2,1.86,0
20060407:2211,0,0,5.81,2.21,0
20060407:2311,0,0,5.57,2.76,0
20060408:0011,0,0,5.68,3.38,0
20060408:0111,0,0,5.84,3.72,0
20060408:0211,0,0,5.65,3.72,0
20060408:0311,0,0,5.57,3.79,0
20060408:0411,0,0,5.5,3.93,0
20060408:0511,13.58,3.37,5.48,4,0
20060408:0611,114.62,12.38,5.87,4.21,0
20060408:0711,362.31,21.24,6.75,3.93,0
20060408:0811,520.62,29.48,7.94,5.52,0
20060408:0911,121.14,36.54,9.3,6.41,0
20060408:1011,539.28,41.68,10.16,6.28,0
20060408:1111,303.4,44.11,10.64,6.28,0
20060408:1211,184.9,43.35,11.18,6.34,0
20060408:1311,105.65,39.56,11.63,6.55,0
20060408:1411,77.42,33.43,10.92,6.21,0
20060408:1511,130.88,25.73,7.88,4.76,0
20060408:1611,49.18,17.13,6.58,3.17,0
20060408:1711,32.79,8.15,6.18,2.28,0
20060408:1811,0,0,5.74,2.41,0
20060408:1911,0,0,5.03,2.41,0
20060408:2011,0,0,4.35,2.48,0
20060408:2111,0,0,3.98,2.76,0
20060408:2211,0,0,3.51,3.1,0
20060408:2311,0,0,3.19,3.31,0
20060409:0011,0,0,3,3.45,0
20060409:0111,0,0,3,3.59,0
20060409:0211,0,0,3.24,3.86,0
20060409:0311,0,0,3.31,3.93,0
20060409:0411,0,0,3.25,3.93,0
20060409:0511,11.88,3.71,3.01,3.79,0
20060409:0611,161.58,12.72,3.44,3.79,0
20060409:0711,331.47,21.58,4.56,5.38,0
20060409:0811,564.56,29.84,5.42,5.66,0
20060409:0911,523.01,36.91,6.61,6.14,0
20060409:1011,698.1,42.06,7.64,6.28,0
20060409:1111,305.03,44.48,8.45,5.93,0
20060409:1211,339.3,43.71,9.42,5.86,0
20060409:1311,311.14,39.89,9.72,5.79,0
20060409:1411,760.03,33.72,9.8,5.79,0
20060409:1511,523.78,26,9.48,5.66,0
20060409:1611,155.72,17.39,8.63,4.28,0
20060409:1711,73.5,8.41,8.11,3.45,0
20060409:1811,0,0,7.16,2.83,0
20060409:1911,0,0,6.1,2.69,0
20060409:2011,0,0,5.09,2.48,0
20060409:2111,0,0,4.14,2.28,0
20060409:2211,0,0,3.26,2.14,0
20060409:2311,0,0,2.53,2.07,0
20060410:0011,0,0,2.11,1.93,0
20060410:0111,0,0,1.59,1.79,0
20060410:0211,0,0,1,1.72,0
20060410:0311,0,0,0.57,1.66,0
20060410:0411,0,0,-0.08,1.72,0
20060410:0511,17.83,4.05,-0.51,1.72,0
20060410:0611,150.89,13.06,0.61,1.38,0
20060410:0711,229.45,21.92,4.21,1.79,0
20060410:0811,230.05,30.19,5.75,2.83,0
20060410:0911,434.45,37.28,6.9,2.97,0
20060410:1011,366.35,42.43,7.88,2.97,0
20060410:1111,514.09,44.86,8.85,2.97,0
20060410:1211,328.55,44.06,9.6,3.24,0
20060410:1311,604.02,40.21,9.71,3.66,0
20060410:1411,538.97,34.01,9.41,4.07,0
20060410:1511,516.06,26.27,9.03,4.07,0
20060410:1611,181.48,17.64,8.27,4,0
20060410:1711,69.17,8.66,7.21,3.79,0
20060410:1811,0,0,5.87,3.52,0
20060410:1911,0,0,4.5,3.38,0
20060410:2011,0,0,4.08,3.1,0
20060410:2111,0,0,3.76,2.76,0
20060410:2211,0,0,3.48,2.55,0
20060410:2311,0,0,3.23,2.34,0
20060411:0011,0,0,2.71,2.34,0
20060411:0111,0,0,2.64,2.41,0
20060411:0211,0,0,2.5,2.14,0
20060411:0311,0,0,2.41,2.21,0
20060411:0411,0,0,2.15,2.28,0
20060411:0511,12.73,4.39,1.97,2.07,0
20060411:0611,124.99,13.39,2.21,1.79,0
20060411:0711,247.44,22.26,3.24,2.28,0
20060411:0811,482.84,30.54,4.55,2.28,0
20060411:0911,221.42,37.64,5.38,2.14,0
20060411:1011,308.93,42.81,5.93,2.21,0
20060411:1111,218.36,45.23,6.57,2.34,0
20060411:1211,136.62,44.41,6.79,2.55,0
20060411:1311,143.91,40.53,7.03,2.83,0
20060411:1411,137.53,34.3,6.91,3.03,0
20060411:1511,180.19,26.53,6.78,3.1,0
20060411:1611,86.05,17.9,6.51,2.97,0
20060411:1711,30.97,8.91,6.14,2.9,0
20060411:1811,0,0,5.73,2.9,0
20060411:1911,0,0,5.75,2.97,0
20060411:2011,0,0,5.25,3.03,0
20060411:2111,0,0,4.83,3.24,0
20060411:2211,0,0,4.48,3.45,0
20060411:2311,0,0,4.12,3.66,0
20060412:0011,0,0,3.88,3.66,0
20060412:0111,0,0,3.69,3.59,0
20060412:0211,0,0,3.53,3.59,0
20060412:0311,0,0,3.53,3.52,0
20060412:0411,0,0,3.49,3.45,0
20060412:0511,17.83,4.72,3.44,3.24,0
20060412:0611,30.97,13.73,3.61,3.1,0
20060412:0711,75.6,22.6,4.21,4.28,0
20060412:0811,176.04,30.89,5.09,4.14,0
20060412:0911,95.64,38,5.96,3.93,0
20060412:1011,187.63,43.18,7.23,3.52,0
20060412:1111,143,45.6,8.36,3.1,0
20060412:1211,417.55,44.76,9.29,2.55,0
20060412:1311,390.75,40.85,9.83,2.14,0
20060412:1411,361.08,34.59,10.36,2.28,0
20060412:1511,66.49,26.8,10.1,2.62,0
20060412:1611,212.14,18.15,9.23,3.03,0
20060412:1711,9.11,9.16,8.54,2.55,0
20060412:1811,0,0,7.55,2.28,0
20060412:1911,0,0,6.47,2,0
20060412:2011,0,0,5.64,1.93,0
20060412:2111,0,0,4.92,2,0
20060412:2211,0,0,4.38,2.14,0
20060412:2311,0,0,3.98,2.41,0
20060413:0011,0,0,3.57,2.69,0
20060413:0111,0,0,3.44,2.97,0
20060413:0211,0,0,3.55,3.24,0
20060413:0311,0,0,4.07,3.52,0
20060413:0411,0,0,4.59,3.72,0
20060413:0511,3.4,5.05,4.92,4,0
20060413:0611,69.17,14.06,5.39,4.34,0
20060413:0711,77.42,22.94,6.13,4.76,0
20060413:0811,89.26,31.24,6.46,4.83,0
20060413:0911,112.94,38.36,6.83,4.69,0
20060413:1011,91.99,43.55,7.51,5.24,0
20060413:1111,91.99,45.97,8.89,4.9,0
20060413:1211,339.28,45.11,10.31,4.28,0
20060413:1311,172.14,41.17,11.69,5.03,0
20060413:1411,120.23,34.88,10.95,4.83,0
20060413:1511,41.9,27.06,11.14,5.24,0
20060413:1611,81.06,18.4,10.86,4.76,0
20060413:1711,52.49,9.4,10.53,4.21,0
20060413:1811,0,0,9.48,3.86,0
20060413:1911,0,0,8.68,3.24,0
20060413:2011,0,0,7.87,3.52,0
20060413:2111,0,0,7.59,4.21,0
20060413:2211,0,0,7.34,4.34,0
20060413:2311,0,0,6.94,4.21,0
20060414:0011,0,0,6.59,4,0
20060414:0111,0,0,6.17,4,0
20060414:0211,0,0,5.88,3.93,0
20060414:0311,0,0,5.49,3.86,0
20060414:0411,0,0,5.21,3.72,0
20060414:0511,25.46,5.38,4.95,3.66,0
20060414:0611,177.69,14.38,5.66,3.86,0
20060414:0711,334.76,23.27,6.98,4.28,0
20060414:0811,551.42,31.58,8.16,6,0
20060414:0911,509.84,38.72,8.72,5.03,0
20060414:1011,360.96,43.91,9.46,4.83,0
20060414:1111,230.83,46.33,10.73,4.76,0
20060414:1211,658.97,45.46,11.42,4.69,0
20060414:1311,458.61,41.48,11.79,4.69,0
20060414:1411,94.72,35.16,11.83,4.62,0
20060414:1511,39.17,27.32,10.56,5.1,0
20060414:1611,216.32,18.65,9.57,4.48,0
20060414:1711,86.6,9.65,9.18,3.59,0
20060414:1811,0,0,8.41,3.17,0
20060414:1911,0,0,7.47,3.17,0
20060414:2011,0,0,6.65,2.97,0
20060414:2111,0,0,5.86,2.62,0
20060414:2211,0,0,5.03,2.41,0
20060414:2311,0,0,4.34,2.48,0
20060415:0011,0,0,3.84,2.41,0
20060415:0111,0,0,3.34,2.28,0
20060415:0211,0,0,2.8,2.07,0
20060415:0311,0,0,2.14,1.86,0
20060415:0411,0,0,1.22,1.59,0
20060415:0511,27.16,5.71,0.59,1.52,0
20060415:0611,148.16,14.71,2.34,0.9,0
20060415:0711,230.1,23.6,5.56,0.76,0
20060415:0811,581.39,31.92,7.56,0.69,0
20060415:0911,790.02,39.07,9.44,1.31,0
20060415:1011,947.7,44.28,10.81,1.79,0
20060415:1111,987.92,46.69,11.71,2.14,0
20060415:1211,780.71,45.8,12.46,2.41,0
20060415:1311,245.34,41.8,13.08,2.69,0
20060415:1411,150.28,35.44,13.5,3.03,0
20060415:1511,79.24,27.58,13.57,3.24,0
20060415:1611,52.83,18.9,13.24,2.76,0
20060415:1711,24.59,9.9,12.54,2.55,0
20060415:1811,0,0,11.52,2.76,0
20060415:1911,0,0,10.67,2.97,0
20060415:2011,0,0,10.44,3.03,0
20060415:2111,0,0,10.21,3.03,0
20060415:2211,0,0,10.01,3.03,0
20060415:2311,0,0,9.5,2.9,0
20060416:0011,0,0,9.04,2.62,0
20060416:0111,0,0,8.59,2.34,0
20060416:0211,0,0,8.34,2.21,0
20060416:0311,0,0,8.52,2,0
20060416:0411,0,0,8.79,1.79,0
20060416:0511,30.56,6.03,8.67,1.79,0
20060416:0611,61.94,15.03,9.48,1.59,0
20060416:0711,184.13,23.92,10.09,1.31,0
20060416:0811,123.87,32.25,10.77,1.45,0
20060416:0911,117.5,39.42,11.09,1.59,0
20060416:1011,86.53,44.64,10.91,1.79,0
20060416:1111,100.19,47.05,11.59,3.24,0
20060416:1211,233.55,46.14,12.85,3.38,0
20060416:1311,84.71,42.1,13.72,4.34,0
20060416:1411,169.09,35.72,14.06,4.69,0
20060416:1511,203.81,27.84,14.25,5.03,0
20060416:1611,252.11,19.14,13.77,4.69,0
20060416:1711,83.63,10.14,12.88,4.07,0
20060416:1811,0,0,11.55,3.24,0
20060416:1911,0,0,10.53,3.24,0
20060416:2011,0,0,9.58,3.03,0
20060416:2111,0,0,8.71,2.97,0
20060416:2211,0,0,8,2.9,0
20060416:2311,0,0,7.36,2.76,0
20060417:0011,0,0,6.76,2.62,0
20060417:0111,0,0,5.89,2.34,0
20060417:0211,0,0,5.25,2,0
20060417:0311,0,0,4.72,1.86,0
20060417:0411,0,0,4.85,2,0
20060417:0511,5.94,6.35,5.25,2.14,0
20060417:0611,98.62,15.34,6.36,2,0
20060417:0711,58.29,24.24,8.42,2.9,0
20060417:0811,169.41,32.58,9.95,4.14,0
20060417:0911,353.83,39.76,10.98,4.41,0
20060417:1011,417.74,44.99,11.95,4.62,0
20060417:1111,170.32,47.41,12.71,4.97,0
20060417:1211,355.61,46.47,12.87,5.17,0
20060417:1311,366.92,42.41,12.81,5.66,0
20060417:1411,61.02,36,12.23,5.31,0
20060417:1511,43.72,28.1,12.03,5.03,0
20060417:1611,140.37,19.39,11.65,4.9,0
20060417:1711,57.63,10.38,10.85,3.86,0
20060417:1811,0,0,9.92,3.24,0
20060417:1911,0,0,9.21,3.03,0
20060417:2011,0,0,8.52,3.03,0
20060417:2111,0,0,8.16,3.03,0
20060417:2211,0,0,7.52,3.03,0
20060417:2311,0,0,7.02,2.9,0
20060418:0011,0,0,6.77,2.83,0
20060418:0111,0,0,6.11,2.83,0
20060418:0211,0,0,5.76,2.9,0
20060418:0311,0,0,5.43,2.9,0
20060418:0411,0,0,5.02,2.9,0
20060418:0511,28.86,6.66,4.9,2.9,0
20060418:0611,175.68,15.66,5.83,2.69,0
20060418:0711,195.87,24.56,7.85,3.31,0
20060418:0811,268.78,32.91,9.34,4,0
20060418:0911,180.34,40.1,10.05,4.41,0
20060418:1011,206.76,45.35,9.75,4.07,0
20060418:1111,190.36,47.76,9.52,3.72,0
20060418:1211,531.36,46.81,9.38,3.17,0
20060418:1311,141.18,42.72,9.5,3.24,0
20060418:1411,128.43,36.27,9.51,2.07,0
20060418:1511,255.66,28.35,9.9,1.66,0
20060418:1611,52.83,19.63,10.03,2.9,0
20060418:1711,36.43,10.62,9.34,2.97,0
20060418:1811,0,0,8.68,2.62,0
20060418:1911,0,0,7.38,1.86,0
20060418:2011,0,0,6.55,1.86,0
20060418:2111,0,0,5.66,1.79,0
20060418:2211,0,0,4.95,1.66,0
20060418:2311,0,0,4.06,1.59,0
20060419:0011,0,0,3.06,1.72,0
20060419:0111,0,0,2.78,1.66,0
20060419:0211,0,0,2.71,1.66,0
20060419:0311,0,0,2.38,1.79,0
20060419:0411,0,0,2.76,1.72,0
20060419:0511,21.22,6.97,3.2,1.86,0
20060419:0611,94.22,15.97,5.52,1.93,0
20060419:0711,420.04,24.87,7.48,2.14,0
20060419:0811,607.23,33.23,9.48,2.55,0
20060419:0911,766.5,40.44,11.27,3.31,0
20060419:1011,908.22,45.7,12.49,3.93,0
20060419:1111,1024.14,48.11,13.3,3.93,0
20060419:1211,972.06,47.14,14.03,4.14,0
20060419:1311,765.26,43.02,14.38,4.14,0
20060419:1411,697.4,36.55,14.62,4.34,0
20060419:1511,474.51,28.6,14.15,4.07,0
20060419:1611,177.4,19.87,13.63,3.52,0
20060419:1711,73.39,10.86,12.81,2.76,0
20060419:1811,0,0,11.72,2.55,0
20060419:1911,0,0,10.87,2.34,0
20060419:2011,0,0,9.93,2.48,0
20060419:2111,0,0,9.16,2.48,0
20060419:2211,0,0,8.59,2.48,0
20060419:2311,0,0,8.03,2.55,0
20060420:0011,0,0,8.07,2.48,0
20060420:0111,0,0,8.03,2.34,0
20060420:0211,0,0,7.82,2.28,0
20060420:0311,0,0,7.27,2.21,0
20060420:0411,0,0,7.13,2.21,0
20060420:0511,24.62,7.28,6.94,2.07,0
20060420:0611,175.23,16.27,7.63,1.79,0
20060420:0711,317.91,25.18,9.19,2.34,0
20060420:0811,391.58,33.55,10.26,2.62,0
20060420:0911,504.24,40.78,11.38,2.83,0
20060420:1011,521.43,46.04,12.19,3.03,0
20060420:1111,524.57,48.46,12.8,2.83,0
20060420:1211,574.12,47.47,13.67,2.76,0
20060420:1311,477.06,43.32,14.26,2.62,0
20060420:1411,273.03,36.82,14.68,2.48,0
20060420:1511,187.51,28.85,14.59,2.55,0
20060420:1611,95.92,20.11,14.31,2.14,0
20060420:1711,33.7,11.1,13.55,1.17,0
20060420:1811,0,0,12.52,1.31,0
20060420:1911,0,0,11.77,1.45,0
20060420:2011,0,0,10.22,1.66,0
20060420:2111,0,0,9.15,1.66,0
20060420:2211,0,0,8.42,1.66,0
20060420:2311,0,0,7.64,1.72,0
20060421:0011,0,0,7.3,1.66,0
20060421:0111,0,0,7.13,1.59,0
20060421:0211,0,0,6.65,1.59,0
20060421:0311,0,0,6.57,1.52,0
20060421:0411,0,0,6.33,1.52,0
20060421:0511,27.16,7.58,6.6,1.31,0
20060421:0611,63.76,16.58,8,0.83,0
20060421:0711,171.41,25.49,10.16,0.76,0
20060421:0811,354.37,33.87,11.54,0.62,0
20060421:0911,474.72,41.11,13.07,0.48,0
20060421:1011,625.6,46.39,14.63,0.34,0
20060421:1111,655.19,48.8,16.18,0.14,0
