Time/s,ABS III_Q_flow_sph/kW,ABS III_Q_flow_dhw/kW,ABS III_Q_flow_tot/kW,ABS II_Q_flow_sph/kW,ABS II_Q_flow_dhw/kW,ABS II_Q_flow_tot/kW,ABS I_Q_flow_sph/kW,ABS I_Q_flow_dhw/kW,ABS I_Q_flow_tot/kW
219600,1801.85117093081,337.011832272287,2138.8630032031,949.987361855347,42.2327631446533,992.220125,652.502989624769,22.2924593649483,674.795448989717
223200,1664.79922479369,345.610703859376,2010.40992865306,796.213275613922,45.5503493860784,841.763625,537.507195644584,17.0387556822309,554.545951326815
226800,1490.69169801623,219.898454524141,1710.59015254037,719.756673965582,28.3692010344182,748.125875,505.329366932214,11.114872801395,516.444239733609
230400,1488.22965294537,222.413512506389,1710.64316545176,712.899828778603,26.4279212213974,739.32775,496.559198899109,10.0475639391284,506.606762838237
234000,1707.12510709172,416.54593915706,2123.67104624878,773.536483924335,39.6632660756651,813.19975,497.546612216042,11.7882191909114,509.334831406953
237600,1966.68741977175,169.847585265677,2136.53500503743,799.060250900621,22.7886240993792,821.848875,500.585089972424,10.0204444293699,510.605534401794
241200,2618.84100191821,209.914737786208,2828.75573970442,894.333979680752,30.5178953192479,924.851875,594.23788913855,16.9639008479707,611.201789986521
244800,2955.64741504896,388.07829708213,3343.72571213109,1015.15384315302,54.4590318469839,1069.612875,716.560353711067,37.0533540587364,753.613707769804
248400,3248.86580705289,208.736357175636,3457.60216422852,1042.39970174345,46.5194232565541,1088.919125,803.859335000065,33.22338117263,837.082716172695
252000,3588.32108305766,49.29415243446,3637.61523549212,1140.05908044539,12.971419554614,1153.0305,888.810228684538,10.9652850675799,899.775513752118
255600,3654.51270944194,24.95579536353,3679.46850480547,1179.47307926865,8.31929573135209,1187.792375,943.132134273825,6.738503363765,949.87063763759
259200,3699.91001780704,12.71769291,3712.62771071704,1217.97706653728,4.04205846271833,1222.019125,975.500190832561,3.441555,978.941745832561
262800,3714.94839730369,6.23886821999999,3721.18726552369,1238.52917579407,2.08944920592665,1240.618625,996.997898190656,1.68830999999999,998.686208190656
266400,3782.45667203264,0.0239956469999999,3782.48066767964,1267.59719579537,0.00755420463105606,1267.60475,1022.73150544705,0.0064935,1022.73799894705
270000,3809.62761439652,2.471551641,3812.09916603752,1297.89870089677,0.783049103225992,1298.68175,1051.78642931387,0.6688305,1052.45525981387
273600,3840.36696361372,33.4314326205945,3873.79839623431,1337.33050411306,4.08512088693726,1341.415625,1084.08018000509,1.48935426495784,1085.56953427005
277200,3855.30539542019,10.2357335312811,3865.54112895147,1539.17220199024,1.1625480097575,1540.33475,1113.7995688791,0.675324,1114.4748928791
280800,3868.42691590685,193.86884794256,4062.29576384941,1651.89488117789,18.2577438221117,1670.152625,1140.14088164992,5.54774436831372,1145.68862601823
284400,3178.18685343549,697.070952518636,3875.25780595412,1426.46480971468,98.9860652853191,1525.450875,1045.36502071675,46.0837175735955,1091.44873829035
288000,2582.83556314159,215.209046910653,2798.04461005224,1266.55765538828,32.0998446117162,1298.6575,917.208626467702,14.3980218363022,931.606648304004
291600,2337.21660640103,160.108709813888,2497.32531621492,1156.75742954054,23.2143204594554,1179.97175,842.013774238751,10.6574985244193,852.67127276317
295200,2220.25654270426,114.798948749826,2335.05549145408,1076.45794120054,18.6959337994619,1095.153875,771.799464020468,13.5352660072267,785.334730027695
298800,2069.15849583803,306.000730843199,2375.15922668123,972.226071580249,46.9008034197511,1019.126875,682.774379504211,30.9916610296882,713.766040533899
302400,1880.12089915934,358.216435977297,2238.33733513664,839.413828497844,45.3844215021561,884.79825,583.192844720893,22.7429447400578,605.935789460951
306000,1774.69148473556,371.51778840357,2146.20927313913,745.111177701718,46.2967597982822,791.4079375,491.574011296997,22.2427184008355,513.816729697833
309600,1751.35258358369,367.126742904969,2118.47932648866,709.779565863532,37.9198716364685,747.6994375,445.796818365308,17.1944720745693,462.991290439877
313200,1843.16862388606,252.27924507825,2095.44786896431,695.166414088792,28.3966484112079,723.5630625,442.117563421981,11.1243605289249,453.241923950906
316800,1941.29763738182,540.256921018898,2481.55455840072,733.949342698401,45.1115948015989,779.0609375,454.615425451694,13.939448583877,468.554874035571
320400,2007.2760167705,171.704994026722,2178.98101079722,711.342473447627,18.8226515523729,730.165125,458.374613729569,9.19785963496568,467.572473364535
